date,amount,type,category
2024-01-01,8399,expense,Marketing
2024-01-02,7011,expense,Sales
2024-01-03,4668,income,Marketing
2024-01-04,4315,expense,Operations
2024-01-05,1546,income,Sales
2024-01-06,9559,expense,Marketing
2024-01-07,8870,income,Sales
2024-01-08,5879,income,Marketing
2024-01-09,2826,expense,Marketing
2024-01-10,4898,expense,Operations
2024-01-11,5026,income,Operations
2024-01-12,1558,income,Sales
2024-01-13,3169,income,Marketing
2024-01-14,8456,income,Marketing
2024-01-15,5108,expense,Marketing
2024-01-16,1846,income,Marketing
2024-01-17,1164,expense,Sales
2024-01-18,6652,income,Sales
2024-01-19,7366,expense,Sales
2024-01-20,9275,income,Marketing
