date,amount,type,category
2024-01-01,8399,expense,Mktg
2024-01-02,7011,expense,Staff Cost
2024-01-03,4668,income,Office
2024-01-04,4315,expense,Wages
2024-01-05,1546,income,Staff Cost
2024-01-06,9559,expense,FB Ads
2024-01-07,8870,income,FB Ads
2024-01-08,5879,income,Ads
2024-01-09,2826,expense,FB Ads
2024-01-10,4898,expense,Office
2024-01-11,5026,income,Ads
2024-01-12,1558,income,Payroll
2024-01-13,3169,income,Marketing
2024-01-14,8456,income,Staff Cost
2024-01-15,5108,expense,Staff Cost
2024-01-16,1846,income,Rent
2024-01-17,1164,expense,FB Ads
2024-01-18,6652,income,Marketing
2024-01-19,7366,expense,Rent
2024-01-20,9275,income,Wages
