date,amount,type,category
???,8399,expense,Marketing
N/A,7011,expense,Sales
03-Jan,4668,income,Marketing
Jan 04 2024,4315,expense,Operations
Jan 05 2024,1546,income,Sales
06/01/2024,9559,expense,Marketing
07-Jan,8870,income,Sales
08/01/2024,5879,income,Marketing
09-Jan,2826,expense,Marketing
Jan 10 2024,4898,expense,Operations
2024-01-11,5026,income,Operations
12/01/2024,1558,income,Sales
Jan 13 2024,3169,income,Marketing
14-Jan,8456,income,Marketing
2024-01-15,5108,expense,Marketing
16/01/2024,1846,income,Marketing
17-Jan,1164,expense,Sales
18-Jan,6652,income,Sales
2024-01-19,7366,expense,Sales
20/01/2024,9275,income,Marketing
